Country,Year,Portfolio_investment_assets,Real_Expenditure_GDP,Portfolio_investment_debt,Portfolio_investment_equity,Real_Public_GDP,Real_Priv_GDP,Real_Priv_GDP_Machine,Real_Expenditure_GDP_Gross_Fixed,Portfolio_investment_liab,Real_Priv_GDP_HH,Invest_net_liab,Real_Priv_GDP_Building,Real_Priv_GDP_HH_NP,Real_Public_GDP_Gov
Australia,2002.0,26696.3299999999,886597.0,4971.99859090729,12150.5887391584,238565.0,83398.0,40842.0,268978.0,186008.5902,648422.0,16998.6118780643,52706.0,,
Australia,2003.0,37368.7500000001,923494.0,4750.33352528676,3618.79759772679,250357.0,89443.0,47666.0,292949.0,262756.500000001,673854.0,37184.0965646772,58442.0,,
Australia,2004.0,53376.301,972985.0,14310.5619183872,11050.0223552437,259083.0,95146.0,55064.0,314514.0,336516.315,714008.0,65891.1046030875,61056.0,,
Australia,2005.0,63101.8684999999,1002856.0,14930.0233745545,14878.9692502599,266525.0,91953.0,63302.0,340385.0,362263.641299999,736420.0,52860.6133483108,72574.0,,
Australia,2006.0,93377.3565,1044017.0,27658.4734173891,25393.9243515622,275827.0,87330.0,66313.0,354437.0,475245.2844,768037.0,91314.3290279518,80375.0,,
Australia,2007.0,132133.3264,1096131.0,33422.670968183,51470.7004054609,282574.0,88912.0,74345.0,383867.0,552009.432000001,812767.0,47343.6041642291,91322.0,,
Australia,2008.0,98619.3872000002,1122565.0,202.919884404821,-4096.25664892914,294347.0,90072.0,80182.0,411319.0,476716.372800001,827792.0,9176.88487654896,102264.0,,
Australia,2009.0,148030.6543,1144103.0,32884.0508708037,38516.021717775,301439.0,85897.0,75584.0,402091.0,656922.745299998,842358.0,112758.971874879,97888.0,,
Australia,2010.0,190188.3494,1185822.0,28787.2490587687,20108.3434827842,308556.0,89866.0,71705.0,419195.0,783652.6692,876773.0,104529.543950101,98051.0,,
Australia,2011.0,198752.92,1226865.0,22639.5948038823,33089.9920888652,321510.0,91001.0,79900.0,449278.0,873998.9544,904927.0,83165.3943110371,126603.0,,
