,Code,Year,Regulatory_Quality
0,ARG,1996.0,0.5180674195289612
1,ARG,1997.0,0.5197068154811859
2,ARG,1998.0,0.5213462114334106
3,ARG,1999.0,0.3518192991614342
4,ARG,2000.0,0.1822923868894577
5,ARG,2001.0,-0.34921208769083023
6,ARG,2002.0,-0.8807165622711182
7,ARG,2003.0,-0.6914756298065186
8,ARG,2004.0,-0.6980352997779846
9,ARG,2005.0,-0.5250743627548218
10,ARG,2006.0,-0.61456698179245
11,ARG,2007.0,-0.6356935501098633
12,ARG,2008.0,-0.7026294469833374
13,ARG,2009.0,-0.8308367729187012
14,ARG,2010.0,-0.7429409027099609
15,ARG,2011.0,-0.7019643783569336
16,ARG,2012.0,-0.897686779499054
17,ARG,2013.0,-0.9281347990036011
18,ARG,2014.0,-1.0661495923995972
19,ARG,2015.0,-0.876747190952301
20,AUS,1996.0,1.3675971031188965
21,AUS,1997.0,1.3999041318893433
22,AUS,1998.0,1.43221116065979
23,AUS,1999.0,1.503912329673767
24,AUS,2000.0,1.5756134986877441
25,AUS,2001.0,1.4983845353126526
26,AUS,2002.0,1.421155571937561
27,AUS,2003.0,1.5752631425857544
28,AUS,2004.0,1.7112195491790771
29,AUS,2005.0,1.5995129346847534
30,AUS,2006.0,1.6237622499465942
31,AUS,2007.0,1.6842159032821655
32,AUS,2008.0,1.7660175561904907
33,AUS,2009.0,1.8169275522232056
34,AUS,2010.0,1.695976734161377
35,AUS,2011.0,1.8521227836608887
36,AUS,2012.0,1.7788971662521362
37,AUS,2013.0,1.79121994972229
38,AUS,2014.0,1.8573734760284424
39,AUS,2015.0,1.783806562423706
40,AUT,1996.0,1.6587121486663818
41,AUT,1997.0,1.5025867223739624
42,AUT,1998.0,1.346461296081543
43,AUT,1999.0,1.4109684228897095
44,AUT,2000.0,1.475475549697876
45,AUT,2001.0,1.506765902042389
46,AUT,2002.0,1.5380562543869019
47,AUT,2003.0,1.5371360778808594
48,AUT,2004.0,1.514102816581726
49,AUT,2005.0,1.6049574613571167
50,AUT,2006.0,1.6444110870361328
51,AUT,2007.0,1.6911638975143433
52,AUT,2008.0,1.6064517498016357
53,AUT,2009.0,1.4500185251235962
54,AUT,2010.0,1.450515866279602
55,AUT,2011.0,1.3769768476486206
56,AUT,2012.0,1.517164707183838
57,AUT,2013.0,1.4822137355804443
58,AUT,2014.0,1.4821701049804688
59,AUT,2015.0,1.3986483812332153
60,BEL,1996.0,1.2142317295074463
61,BEL,1997.0,1.1100212335586548
62,BEL,1998.0,1.0058107376098633
63,BEL,1999.0,1.079390287399292
64,BEL,2000.0,1.1529698371887207
65,BEL,2001.0,1.2035751938819885
66,BEL,2002.0,1.2541805505752563
67,BEL,2003.0,1.2816262245178223
68,BEL,2004.0,1.3464164733886719
69,BEL,2005.0,1.2713619470596313
70,BEL,2006.0,1.3299378156661987
71,BEL,2007.0,1.420544147491455
72,BEL,2008.0,1.4056702852249146
73,BEL,2009.0,1.3102202415466309
74,BEL,2010.0,1.2828150987625122
75,BEL,2011.0,1.2362169027328491
76,BEL,2012.0,1.222170352935791
77,BEL,2013.0,1.2837470769882202
78,BEL,2014.0,1.1528851985931396
79,BEL,2015.0,1.283219575881958
80,BGR,1996.0,-0.184434711933136
81,BGR,1997.0,0.002243839204311371
82,BGR,1998.0,0.18892239034175873
83,BGR,1999.0,0.19443994015455246
84,BGR,2000.0,0.1999574899673462
85,BGR,2001.0,0.3638187050819397
86,BGR,2002.0,0.5276799201965332
87,BGR,2003.0,0.6683752536773682
88,BGR,2004.0,0.7078437805175781
89,BGR,2005.0,0.6575455069541931
90,BGR,2006.0,0.6165404319763184
91,BGR,2007.0,0.6433606147766113
92,BGR,2008.0,0.7341217994689941
93,BGR,2009.0,0.6947851777076721
94,BGR,2010.0,0.6804325580596924
95,BGR,2011.0,0.5525200366973877
96,BGR,2012.0,0.5747108459472656
97,BGR,2013.0,0.5491098165512085
98,BGR,2014.0,0.5852736234664917
99,BGR,2015.0,0.5914563536643982
100,BHR,1996.0,0.7904871106147766
101,BHR,1997.0,0.7768461406230927
102,BHR,1998.0,0.7632051706314087
103,BHR,1999.0,0.7557540237903595
104,BHR,2000.0,0.7483028769493103
105,BHR,2001.0,0.8080829977989197
106,BHR,2002.0,0.867863118648529
107,BHR,2003.0,0.6214697957038879
108,BHR,2004.0,0.7026065587997437
109,BHR,2005.0,0.6594607830047607
110,BHR,2006.0,0.6824414730072021
111,BHR,2007.0,0.7647671699523926
112,BHR,2008.0,0.7112066745758057
113,BHR,2009.0,0.6926897764205933
114,BHR,2010.0,0.7120158076286316
115,BHR,2011.0,0.7164914011955261
116,BHR,2012.0,0.6841595768928528
117,BHR,2013.0,0.6022825241088867
118,BHR,2014.0,0.7045187950134277
119,BHR,2015.0,0.8154434561729431
120,BRA,1996.0,0.2969333231449127
121,BRA,1997.0,0.31211575865745544
122,BRA,1998.0,0.32729819416999817
123,BRA,1999.0,0.29287031292915344
124,BRA,2000.0,0.2584424316883087
125,BRA,2001.0,0.2205047532916069
126,BRA,2002.0,0.1825670748949051
127,BRA,2003.0,0.19670148193836212
128,BRA,2004.0,0.03741418570280075
129,BRA,2005.0,0.03690125793218613
130,BRA,2006.0,-0.04127338528633118
131,BRA,2007.0,-0.022834619507193565
132,BRA,2008.0,0.07702741026878357
133,BRA,2009.0,0.12760727107524872
134,BRA,2010.0,0.24661986529827118
135,BRA,2011.0,0.2580220699310303
136,BRA,2012.0,0.17324408888816833
137,BRA,2013.0,0.146290123462677
138,BRA,2014.0,-0.028219953179359436
139,BRA,2015.0,-0.16428253054618835
140,CHE,1996.0,1.5576590299606323
141,CHE,1997.0,1.5994524955749512
142,CHE,1998.0,1.64124596118927
143,CHE,1999.0,1.7167454361915588
144,CHE,2000.0,1.7922449111938477
145,CHE,2001.0,1.763035774230957
146,CHE,2002.0,1.7338266372680664
147,CHE,2003.0,1.6837153434753418
148,CHE,2004.0,1.636825680732727
149,CHE,2005.0,1.5506291389465332
150,CHE,2006.0,1.4954813718795776
151,CHE,2007.0,1.645464301109314
152,CHE,2008.0,1.5620067119598389
153,CHE,2009.0,1.5490134954452515
154,CHE,2010.0,1.620867133140564
155,CHE,2011.0,1.6153361797332764
156,CHE,2012.0,1.6510661840438843
157,CHE,2013.0,1.6197923421859741
158,CHE,2014.0,1.8003402948379517
159,CHE,2015.0,1.7362416982650757
160,CHL,1996.0,1.5427600145339966
161,CHL,1997.0,1.4593397378921509
162,CHL,1998.0,1.3759194612503052
163,CHL,1999.0,1.3903260827064514
164,CHL,2000.0,1.4047327041625977
165,CHL,2001.0,1.3616145253181458
166,CHL,2002.0,1.3184963464736938
167,CHL,2003.0,1.3334413766860962
168,CHL,2004.0,1.3679841756820679
169,CHL,2005.0,1.312464714050293
170,CHL,2006.0,1.4238946437835693
171,CHL,2007.0,1.4855865240097046
172,CHL,2008.0,1.502484917640686
173,CHL,2009.0,1.4273992776870728
174,CHL,2010.0,1.4151711463928223
175,CHL,2011.0,1.440535306930542
176,CHL,2012.0,1.5361981391906738
177,CHL,2013.0,1.4828718900680542
178,CHL,2014.0,1.4845895767211914
179,CHL,2015.0,1.3282959461212158
180,CHN,1996.0,-0.2666527032852173
181,CHN,1997.0,-0.26718054711818695
182,CHN,1998.0,-0.2677083909511566
183,CHN,1999.0,-0.2963317930698395
184,CHN,2000.0,-0.32495519518852234
185,CHN,2001.0,-0.4538605362176895
186,CHN,2002.0,-0.5827658772468567
187,CHN,2003.0,-0.39204883575439453
188,CHN,2004.0,-0.34622883796691895
189,CHN,2005.0,-0.18376947939395905
190,CHN,2006.0,-0.2583872079849243
191,CHN,2007.0,-0.23336341977119446
192,CHN,2008.0,-0.21839340031147003
193,CHN,2009.0,-0.2980939447879791
194,CHN,2010.0,-0.32095497846603394
195,CHN,2011.0,-0.25913625955581665
196,CHN,2012.0,-0.28433284163475037
197,CHN,2013.0,-0.3316081762313843
198,CHN,2014.0,-0.3313344120979309
199,CHN,2015.0,-0.3352265954017639
200,COL,1996.0,-0.1054876521229744
201,COL,1997.0,-0.13683273270726204
