,Code,Year,Banking_crisis_dummy
251,AND,2001.0,0.0
252,AND,2002.0,0.0
253,AND,2003.0,0.0
254,AND,2004.0,0.0
255,AND,2005.0,0.0
256,AND,2006.0,0.0
257,AND,2007.0,0.0
258,AND,2008.0,0.0
259,AND,2009.0,0.0
260,AND,2010.0,0.0
261,AND,2011.0,0.0
262,AND,2012.0,0.0
263,AND,2013.0,0.0
264,AND,2014.0,0.0
265,AND,2015.0,0.0
266,AGO,1997.0,0.0
267,AGO,1998.0,0.0
268,AGO,1999.0,0.0
269,AGO,2000.0,0.0
270,AGO,2001.0,0.0
271,AGO,2002.0,0.0
272,AGO,2003.0,0.0
273,AGO,2004.0,0.0
274,AGO,2005.0,0.0
275,AGO,2006.0,0.0
276,AGO,2007.0,0.0
277,AGO,2008.0,0.0
278,AGO,2009.0,0.0
279,AGO,2010.0,0.0
280,AGO,2011.0,0.0
281,AGO,2012.0,0.0
282,AGO,2013.0,0.0
283,AGO,2014.0,0.0
284,AGO,2015.0,0.0
285,ATG,1997.0,0.0
286,ATG,1998.0,0.0
287,ATG,1999.0,0.0
288,ATG,2000.0,0.0
289,ATG,2001.0,0.0
290,ATG,2002.0,0.0
291,ATG,2003.0,0.0
292,ATG,2004.0,0.0
293,ATG,2005.0,0.0
294,ATG,2006.0,0.0
295,ATG,2007.0,0.0
296,ATG,2008.0,0.0
297,ATG,2009.0,0.0
298,ATG,2010.0,0.0
299,ATG,2011.0,0.0
300,ATG,2012.0,0.0
301,ATG,2013.0,0.0
302,ATG,2014.0,0.0
303,ATG,2015.0,0.0
304,ARG,1997.0,0.0
305,ARG,1998.0,0.0
306,ARG,1999.0,0.0
307,ARG,2000.0,0.0
308,ARG,2001.0,1.0
309,ARG,2002.0,1.0
310,ARG,2003.0,1.0
311,ARG,2004.0,0.0
312,ARG,2005.0,0.0
313,ARG,2006.0,0.0
314,ARG,2007.0,0.0
315,ARG,2008.0,0.0
316,ARG,2009.0,0.0
317,ARG,2010.0,0.0
318,ARG,2011.0,0.0
319,ARG,2012.0,0.0
320,ARG,2013.0,0.0
321,ARG,2014.0,0.0
322,ARG,2015.0,0.0
323,ARM,1997.0,0.0
324,ARM,1998.0,0.0
325,ARM,1999.0,0.0
326,ARM,2000.0,0.0
327,ARM,2001.0,0.0
328,ARM,2002.0,0.0
329,ARM,2003.0,0.0
330,ARM,2004.0,0.0
331,ARM,2005.0,0.0
332,ARM,2006.0,0.0
333,ARM,2007.0,0.0
334,ARM,2008.0,0.0
335,ARM,2009.0,0.0
336,ARM,2010.0,0.0
337,ARM,2011.0,0.0
338,ARM,2012.0,0.0
339,ARM,2013.0,0.0
340,ARM,2014.0,0.0
341,ARM,2015.0,0.0
342,ABW,1997.0,0.0
343,ABW,1998.0,0.0
344,ABW,1999.0,0.0
345,ABW,2000.0,0.0
346,ABW,2001.0,0.0
347,ABW,2002.0,0.0
348,ABW,2003.0,0.0
