Country,Year,Domestic credit to private sector (% of GDP),GDP growth (annual %),Gross capital formation (annual % growth),Gross fixed capital formation (annual % growth),GDP per capita (constant LCU),GDP (constant LCU),GDP per capita (constant 2015 US$),Gross fixed capital formation (constant LCU),GDP per capita (current LCU),General government final consumption expenditure (% of GDP),Trade (% of GDP),"Inflation, GDP deflator (annual %)",Country Code,Banking_crisis_dummy,Regulatory_Quality,Portfolio_investment_assets,Real_Expenditure_GDP,Portfolio_investment_debt,Portfolio_investment_equity,Real_Public_GDP,Real_Priv_GDP,Real_Priv_GDP_Machine,Real_Expenditure_GDP_Gross_Fixed,Portfolio_investment_liab,Real_Priv_GDP_HH,Invest_net_liab,Real_Priv_GDP_Building,Real_Priv_GDP_HH_NP,Real_Public_GDP_Gov,five_yr_CDS,hci,General government gross debt,Total investment
Belgium,2003.0,62.53089436,1.037982549,0.303003838,-0.131979552,33003.11397,3.42445E+11,36617.38038,70523800000,27100.67421,22.48437234,132.7155528,1.850088683,BEL,0.0,1.2816262245178225,309279.651,244664.26833488,540.188685061189,5514.98570149301,77686.997550152,,,66979.951620317,195992.34,166941.16005439,3457.82757937634,,,,5.5345,3.0303595066070557,101.113,20.861
Belgium,2004.0,61.84259333,3.571204343,10.61884607,9.029859423,34034.10779,3.54674E+11,37761.28132,76892000000,28482.46789,22.19721265,136.9184053,1.914990948,BEL,0.0,1.346416473388672,361909.97,248268.27295287,27546.2851273448,8038.7939499279,79554.532192892,,,73028.147093455,215651.7583,168717.70641154,958.015541053342,,,,3.378583333333334,3.0495097637176514,96.523,22.495
Belgium,2005.0,63.59777008,2.321737054,8.16133495,5.737788066,34633.26315,3.62909E+11,38426.05191,81303900000,29587.64501,22.09399763,144.5290507,2.083074213,BEL,0.0,1.2713619470596311,350085.4126,251032.24849602,22973.9564914491,20437.5492110065,79844.233108396,,,77218.347402481,201745.2158,171154.46019619,-6920.43218845832,,,,2.854166666666667,3.0687811374664307,94.627,23.609
Belgium,2006.0,65.8336191,2.552349944,3.692648499,1.90544365,35283.73928,3.72171E+11,39147.76356,82853100000,30826.01391,21.93878853,149.5675093,2.264707144,BEL,0.0,1.3299378156661987,394984.104,254697.11010858,6572.88923894163,19990.9023591533,80438.658479538,,,78689.699499931,227322.102,174192.21247684,12751.2398164671,,,,2.5385,3.0735692977905273,91.038,23.884
Belgium,2007.0,68.44384869,3.676881136,8.726584543,7.281924273,36313.43817,3.85856E+11,40290.22776,88886400000,32338.47182,21.61589482,152.4684469,1.931721117,BEL,0.0,1.420544147491455,523617.1374,259896.65438756,60082.9275593372,20398.6577145283,81987.621668804,,,84419.823828326,323769.2577,177836.80990346,34121.4813055997,,,,3.672583333333333,3.078364849090576,87.021,24.447
Belgium,2008.0,62.75830286,0.446928735,2.035890933,1.906928394,36188.71868,3.8758E+11,40151.84987,90581400000,32842.57579,22.66614469,161.0884478,1.908845425,BEL,1.0,1.4056702852249146,533202.021,264829.93780679,32181.993376365,-31846.0443810345,84529.043539547,,,86029.649419069,353269.128,180282.00884918,39282.2967760954,,,,33.51318181818181,3.0831680297851562,92.529,25.731
Belgium,2009.0,58.67877652,-2.020743062,-8.733766791,-6.622662048,35173.29192,3.79748E+11,39025.22079,84582500000,32091.23555,24.19191348,135.4060405,0.533179398,BEL,1.0,1.3102202415466309,543440.4192,267191.29967783,-15498.5467789926,-3161.79615523157,85863.785527003,,,80332.196477295,411092.4972,181335.79790447,24878.8237046398,,,,65.15458333333333,3.0879786014556885,99.564,21.664
Belgium,2010.0,56.80149342,2.864292708,2.220629699,0.006975438,35851.70178,3.90625E+11,39777.92528,84588400000,33329.10226,23.73268609,149.9976731,1.89207786,BEL,1.0,1.2828150987625122,495038.0484,272975.2,-4328.56520461788,6651.05876060606,86182.9,,,80337.8,358795.0878,186792.3,-21170.7008395386,,,,116.9419166666667,3.092796802520752,99.71,22.692
Belgium,2011.0,55.42096956,1.694513899,7.748286982,5.220219321,35987.95064,3.97245E+11,39929.09514,89004100000,34060.41022,24.04942657,161.4937237,1.807299468,BEL,1.0,1.2362169027328491,469142.262,275010.82503778,3234.14981874339,-8716.94995873236,86601.930065224,,,84531.609357548,323315.8503,188408.85231652,-23715.937628605,,,,208.6231666666666,3.0989954471588135,102.337,23.99
Belgium,2012.0,54.73869728,0.739217283,-1.85436044,0.648734159,36029.84154,4.00181E+11,39975.57364,89581500000,34768.80024,24.30335286,160.7460302,1.961119341,BEL,1.0,1.222170352935791,450274.2768,278799.24200089,-55159.1637755274,13668.0882714238,87628.055957125,,,85079.994782973,370796.2596,191173.66812763,17990.5950395037,,,,182.2865833333333,3.1052064895629883,104.115,23.203
