iso,year,lrmp_rv,lfmp_rv,lrmp_hm,lfmp_hm
ABW,1997.0,17.89191022178126,12.917825943575846,15.511614577047066,12.851417624131857
ABW,1998.0,17.62869133045399,13.178244963703989,15.485916622940827,13.095726999904326
ABW,1999.0,17.17198560283456,13.241804091386348,15.772025220771225,13.173202909840578
ABW,2000.0,17.955365272930266,13.332755795252321,16.03124663283236,13.259605680062919
ABW,2001.0,17.740370544034853,13.584689031898755,15.928337812151229,13.476020162912686
ABW,2002.0,17.736264924478135,13.474823688564937,16.015783244968077,13.371863240346721
ABW,2003.0,18.235809231196964,13.44034363770205,16.079870661553738,13.373500277723068
AFG,1997.0,16.497457320442958,12.85305733809228,13.347997261311683,12.798036382329009
AFG,1998.0,16.329785065719033,12.948585875194421,13.401106324682244,12.878705359449139
AFG,1999.0,15.758641905450926,13.033749699148395,13.51974406000431,12.969056951682155
AFG,2000.0,15.830575657924154,13.122773407988193,13.404592794263635,13.055306651558812
AFG,2001.0,15.643563909878067,13.267490768426775,13.445544330881262,13.167647810629088
AFG,2002.0,16.422979310699034,13.240076914155939,13.734164731638867,13.14366371024191
AFG,2003.0,17.22551422871153,13.340210423213904,13.975313108090106,13.276585312985366
AGO,1997.0,17.13664542508651,12.95887657891983,13.693653328278632,12.912910625178563
AGO,1998.0,17.243654955522047,12.963304249259615,13.853847196861249,12.91674071531381
AGO,1999.0,16.53858896392265,12.919705576455916,13.846954122326832,12.874321257525668
AGO,2000.0,16.944259676799046,12.962060385377512,13.79424331139489,12.915204262570965
AGO,2001.0,17.055909105669702,13.099730841569896,13.931133584763735,13.05443245018524
AGO,2002.0,17.176539534220016,13.016853573217835,14.01699865200109,12.974401958555699
AGO,2003.0,17.798066196716977,13.140374064937562,14.170590625401871,13.101510233415967
ALB,1997.0,16.289704602161397,13.735139852323426,14.120300093685483,13.66102032551834
ALB,1998.0,16.486494666358748,13.972037171813863,14.407423390473648,13.879727661512257
ALB,1999.0,16.08116857794425,13.988467146947944,14.55974661384134,13.908982817122665
ALB,2000.0,16.243765354549776,14.53947955671008,14.758105094533898,14.465945418252629
ALB,2001.0,16.244254513842616,14.679006811697418,14.871151878273135,14.610135212140706
ALB,2002.0,16.243004167927612,14.68337063893735,14.895769096601883,14.621794195963153
ALB,2003.0,17.09641552265806,14.837808603781255,15.168506960694259,14.788891802411243
ANT,1997.0,17.822776805267175,12.792054490322672,14.1793527638886,12.734265795740637
ANT,1998.0,17.8093225966942,13.064571971107105,14.375760128810505,12.987443612109036
ANT,1999.0,17.03289545779851,13.192894302499276,14.391709661847917,13.124811373123332
ANT,2000.0,15.436535342063978,13.323887172385806,13.462237831830542,13.251420535997505
ANT,2001.0,15.430947842948196,13.570101169395134,13.638427569225293,13.462397395436971
ANT,2002.0,15.45344549440504,13.459183749896678,13.572723781262978,13.35715682425804
ANT,2003.0,16.19244354541066,13.420169245458123,13.651044301396304,13.35418986923282
ARE,1997.0,20.041827089681064,13.593325605624333,16.815567631760956,13.539791975745713
ARE,1998.0,20.16487314326644,13.64761436150632,17.070663944993846,13.592896490976125
ARE,1999.0,19.918013285118963,13.608955752136707,17.586080015123066,13.556692751880128
ARE,2000.0,19.699197947164397,13.666773514319724,16.855613200389833,13.612443672631375
ARE,2001.0,20.098925479327917,13.794014431889105,17.281767061536144,13.74020539662748
ARE,2002.0,20.154588571382895,13.770908013608242,17.423170127872563,13.720788707140667
ARE,2003.0,21.084971957684445,13.941392092051286,17.913843563984706,13.897840703165487
ARG,1997.0,19.443176840785792,13.332445813445132,15.157958681647036,13.293921628099993
ARG,1998.0,19.64573294170012,13.41318690274856,15.48381084444048,13.372874235880921
ARG,1999.0,18.648864891259162,13.447819581839013,15.2857008996002,13.402415200302245
ARG,2000.0,19.071528985455135,13.572006168314255,15.195089203421226,13.529442507713316
ARG,2001.0,18.801286157139508,13.65341505269928,15.01740714305287,13.606247891087415
ARG,2002.0,18.016103240627697,13.501928636272966,14.457219722658412,13.45537017232721
ARG,2003.0,18.67037631064754,13.428561669218558,14.581832023220265,13.387676964412428
ARM,1997.0,17.099554974964256,13.252294445509452,14.40713355538822,13.198604821244773
ARM,1998.0,17.263828342757982,13.393293722913434,14.712726533634472,13.323202276770685
ARM,1999.0,16.56331990465054,13.352877539842154,14.746792043394066,13.288060514336227
ARM,2000.0,16.793185367967435,13.416141912689561,14.542450202615935,13.34519543565287
ARM,2001.0,17.205935500208955,13.589199167481034,14.935772676954425,13.491458975563063
ARM,2002.0,17.296796778998804,13.576110478779428,15.070918584552725,13.483018485587333
ARM,2003.0,17.575485967060917,14.08706992549244,15.093790078677376,14.045158002934137
ATG,1997.0,16.929790916894238,13.868284544502606,14.769394350187792,13.805087452041256
ATG,1998.0,17.117069401417076,13.957072705463002,15.064626160855862,13.89507490656001
ATG,1999.0,16.677932524686096,13.948205075310472,15.28770388611552,13.88709651540543
ATG,2000.0,17.32820221159367,14.09236466466917,15.418430843704327,14.028543844862533
ATG,2001.0,17.44566463387597,14.302306563600595,15.624777950797942,14.239001560282096
ATG,2002.0,17.556297955725746,14.167990360984726,15.769235078258719,14.1093085847396
ATG,2003.0,18.15988148107358,14.311480603904332,15.967459766772556,14.255660526920474
AUS,1997.0,19.66181134849583,12.754775363013287,14.84080378206732,12.705753117862214
AUS,1998.0,19.648607077063893,12.697559986444139,14.96274438494109,12.648619002186988
AUS,1999.0,19.19528430816868,12.711311706657686,15.249996771872006,12.659253140394847
AUS,2000.0,19.373246192917296,12.810311489578417,14.90400446104211,12.760779924718818
